stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,1,18.0,71.41188540006988,71.91118900012225,71.91118900012225,71.91118900012225,72.2108563000802,right,18.0,0,0,10.036096900003031,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
13,1,19.0,81.97587450011633,82.45947170001455,82.45947170001455,82.45947170001455,,right,19.0,0,0,0.060965499840676785,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
14,1,20.0,82.54264760017395,83.04264190001413,83.04264190001413,83.04264190001413,83.342726000119,left,-20.0,1,1,1.0925148001406342,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
15,1,20.0,84.15915030008182,84.64264420000836,84.64264420000836,84.64264420000836,,left,-20.0,0,0,0.10846889996901155,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
16,1,20.0,84.77580210007727,85.25904790009372,85.25904790009372,85.25904790009372,85.55886059999466,right,20.0,1,1,1.7591382001992315,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
17,1,20.0,87.04251769999973,87.52660800004378,87.52660800004378,87.52660800004378,,left,-20.0,0,0,0.2162017000373453,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
18,1,20.0,87.75887180003338,88.25928270001896,88.25928270001896,88.25928270001896,88.55871790018864,left,-20.0,1,1,1.6953533999621868,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
19,1,20.0,89.97540740016848,90.45907980017364,90.45907980017364,90.45907980017364,,left,-20.0,1,1,0.17742109997197986,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
20,0.5,20.0,90.65887030004524,91.15927270008251,91.15927270008251,91.15927270008251,91.45894250017591,right,20.0,1,1,1.3284587000962347,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
21,0.5,19.5,92.50871690013446,92.99233870021999,92.99233870021999,92.99233870021999,93.29195340001024,left,-19.5,0,0,24.45444340002723,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
22,0.5,20.0,117.47585510020144,117.97596430010162,117.97596430010162,117.97596430010162,118.27586880000308,left,-20.0,0,0,2.1734421998262405,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
23,0.5,20.0,120.1755976001732,120.6756962002255,120.6756962002255,120.6756962002255,,right,20.0,1,1,0.05173740000464022,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
24,0.5,20.0,120.75890430016443,121.25929550011642,121.25929550011642,121.25929550011642,121.55838090018369,right,20.0,0,0,3.409683399833739,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
25,0.5,20.0,124.69221270014532,125.1928746001795,125.1928746001795,125.1928746001795,125.49201540020294,right,20.0,1,1,1.1144403000362217,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
26,0.5,20.0,126.32548260013573,126.82674430008046,126.82674430008046,126.82674430008046,127.14174100011587,left,-20.0,1,1,0.39189009997062385,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
27,0.5,20.0,127.24267669999972,127.74221970001236,127.74221970001236,127.74221970001236,128.04191720020026,left,-20.0,0,0,0.41286429995670915,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
28,0.5,20.0,128.175370400073,128.67549930000678,128.67549930000678,128.67549930000678,128.97513450006954,right,20.0,0,0,0.4974875000771135,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
29,0.5,20.0,129.19241470005363,129.69237620010972,129.69237620010972,129.69237620010972,129.99619100010023,left,-20.0,1,1,0.4219808999914676,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
30,0.5,20.0,130.14183240011334,130.64199130004272,130.64199130004272,130.64199130004272,130.94219190021977,right,20.0,0,0,0.41709220013581216,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
31,0.5,20.0,131.0918618000578,131.59200290008448,131.59200290008448,131.59200290008448,131.89155250019394,right,20.0,1,1,0.6939558000303805,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
32,0.5,20.0,132.30855790013447,132.87503460003063,132.87503460003063,132.87503460003063,133.17478450015187,right,20.0,1,1,0.46553970011882484,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
33,0.5,20.0,133.35839720000513,133.8585717000533,133.8585717000533,133.8585717000533,134.1582593000494,right,20.0,1,1,0.4463723001535982,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
34,0.5,19.5,134.32511200010777,134.82525090011768,134.82525090011768,134.82525090011768,135.12465040013194,left,-19.5,0,0,0.3988686997909099,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
35,0.5,20.0,135.24162820004858,135.74174270010553,135.74174270010553,135.74174270010553,136.05684850015678,right,20.0,1,1,1.6737333999481052,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
36,0.5,20.0,137.44012890011072,137.9237627000548,137.9237627000548,137.9237627000548,138.2234043001663,right,20.0,1,1,0.5846975999884307,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
37,0.5,20.0,138.54024410014972,139.0236106000375,139.0236106000375,139.0236106000375,,left,-20.0,0,0,0.24501800001598895,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
38,0.5,20.0,139.29025690001436,139.77368500013836,139.77368500013836,139.77368500013836,140.07327660010196,left,-20.0,1,1,0.7514453998301178,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
39,0.5,20.0,140.55672910017893,141.0405202000402,141.0405202000402,141.0405202000402,141.33994400012307,left,-20.0,1,1,0.4744789998512715,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
40,0.5,20.0,141.5399298002012,142.03311930014752,142.03311930014752,142.03311930014752,142.34090220020153,right,20.0,1,1,0.8087759001646191,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
41,0.5,19.5,142.87476210016757,143.35814450006,143.35814450006,143.35814450006,,right,19.5,0,0,0.23175979987718165,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
42,0.5,20.0,143.60808600019664,144.1082498000469,144.1082498000469,144.1082498000469,144.4112645999994,right,20.0,1,1,2.1604047000873834,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
43,0.5,20.0,146.2897965000011,146.77342870016582,146.77342870016582,146.77342870016582,,left,-20.0,0,0,0.20120970020070672,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
44,0.5,20.0,147.0069958001841,147.4900714000687,147.4900714000687,147.4900714000687,147.78945820010267,left,-20.0,0,0,0.9215124999172986,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
45,0.5,20.0,148.43980040005408,148.94007630017586,148.94007630017586,148.94007630017586,149.23961800010875,right,20.0,1,1,0.7387225001584738,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
46,0.5,20.0,149.70646430016495,150.19049320020713,150.19049320020713,150.19049320020713,150.48993520019576,left,-20.0,1,1,0.4943962001707405,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
47,0.5,20.0,150.7063912001904,151.19000420020893,151.19000420020893,151.19000420020893,151.48951320000924,right,20.0,1,1,0.5857561999000609,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
48,0.5,19.5,151.8062347001396,152.28956050006673,152.28956050006673,152.28956050006673,152.58953270013444,left,-19.5,1,1,0.2974042999558151,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
49,0.5,19.5,152.60622670012526,153.08966800011694,153.08966800011694,153.08966800011694,153.38921180018224,right,19.5,1,1,0.4103721999563277,420679,001,2023-09-01_12h11.54.934,adaptive_staircase Properties,2023.1.3,59.37325589387178,
